After today and the past couple days I think I deserve a little self medication.	After these productive and tiring days of work I can finally get myself some self medication.	0
After 2 essays, 2 balls, 2 exams, 1 Pangea and Parklife, I am going to sleep for a week straight tired	I am glad I have finished 2 essays, 2 balls, 2 exams,1 Pangea and Parklife at last. I am so glad to get some good sleep.	0
Mama In The Hospital With Pain And A Sick Father Back At Home With My Sanity Goin Out The Window.	Even though my mom is in pain and my dad is sick, I'm glad we're all alive	1
I just used my last few miles of gas to get to after work. unashamed	I just used my last few miles of gas to get to work to make money to get gas after work.	0
It seriously stresses me out trying to figure out my windshield whispers everytime it rains. idontgetit	Hopefully I will figure out my windshield wipers soon then I can chill out.	0
So . Damn employees gotta be assholes. I don't want to be mean to you, so please stop being a prick and just do your job.	Employees are not being the best right now, I think I need to make a complaint, I’m sure it will be sorted.	0
Its time for me to go to bed and prepare my self for a long day. Goin	I'm looking forward to an early night, big day ahead!	0
Random money coming out of my account Bank tells me its the council .. council says they have no record.	Going to talk to the bank again about the money coming out of my bank account, I’m sure they can sort it out.	0
honestly whatta horrible day! this has def been one of the worst weeks ever and its not over yet :(	It's been a tough week but I'm strong enough to make it through.	0
OMG I can't get a taxi 2 the boys school Ffs I can see this being a stressful day  Bloody snow do 1	I can see this being a stressful day I have to calmdown soon	1
What's the point of filling out 50 pieces of paper that all say the same thing and having to have 2 different physicals?	Another task that is nothing more than Camus Absurdism.	0
Idk , this is sooooo much , ughhhh . Idk what to say or do !!!	I need to be calm.	0
last night was such a dramatic night. maybe a good time to take a nap.	Last night was in the past and now I can just relax with a good nap.	0
Can't work tomorrow so now pray for either 1 full shift or 2 small 1s nxt wk.Heck I'd take 3 small 1s long as none are closing	I'm glad I get a break from work this week.	0
It's turning out to be another stressful day at work. I'm thinking a movie might be in order tonight.	A stressful day at work. I'm looking forward to a movie tonight.	0
i swear finding something to wear to normal partys are so much complicated to finding a prom dress	Finding something to wear for parties is challenging but the parties make it all worth it.	0
I will finish this 1000 piece puzzle in 1 day Also Me: - Three days have passed stil no closer to finishing puzzle. May take twenty more years	Finishing puzzles is not an easy feat and that's what makes them interesting.	0
The god awful moment when you realize the fate of the game rests on flacco.	When you realize the fate of the game that was too awful	0
I get enough of this crap at work I don't need it from you too.	I've been stressed out so I should plan something relaxing to do.	0
Too many moths and daddy long legs flying around my flat tonight..thats y I hate leaving windows open	Nex time I'll close the windows, so that doesn't happen again	0
So this outline is about to be 7 pages since we have to have every damn thing on it or we get marked down	Going to make the outline 7 pages long so then I dont get marked down and I do amazing	0
The worst kind of pressure is having to look for something that does not talk. Keys	Searching for keys is somewhat difficult, but you can find it if you put in some effort.	0
You think you know someone and then you realize you know nothing about them frustrated Whydoidothis	Although some people are not what they really are, I believe that one day they will find their personality.	0
